,index,Country,Division,Population,Latitude,Longitude
Albuquerque_New Mexico,Albuquerque,United States,New Mexico,559121,35.0845,-106.6511
Austin_Texas,Austin,United States,Texas,931830,30.2672,-97.7431
Billings_Montana,Billings,United States,Montana,110263,45.7833,-108.5007
Boise_Idaho,Boise,United States,Idaho,145987,43.6135,-116.2035
Cheyenne_Wyoming,Cheyenne,United States,Wyoming,63335,41.14,-104.8203
Denver_Colorado,Denver,United States,Colorado,682545,39.7392,-104.9847
Las Vegas_Nevada,Las Vegas,United States,Nevada,623747,36.175,-115.1372
Phoenix_Arizona,Phoenix,United States,Arizona,1563025,33.4484,-112.074
Portland_Oregon,Portland,United States,Oregon,632309,45.5234,-122.6762
Salt Lake City_Utah,Salt Lake City,United States,Utah,192672,40.7608,-111.8911
San Francisco_California,San Francisco,United States,California,864816,37.7749,-122.4194
Seattle_Washington,Seattle,United States,Washington,684451,47.6062,-122.3321
